file,line,type,commit,author,date,time,timezone,datetime,depth,length
styles.css,43,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,0,0
styles.css,44,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,0,11
styles.css,45,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,2,45
styles.css,46,css,ab66266e,Aarav Agrawal,2026-04-17,17:03:33,-07:00,2026-04-17T17:03:33-07:00,2,69
styles.css,47,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,0,0
styles.css,48,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,0,4
styles.css,49,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,2,12
styles.css,50,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,2,30
styles.css,51,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,2,7
styles.css,52,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,0,0
styles.css,53,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,0,5
styles.css,54,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,2,12
styles.css,55,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,2,29
styles.css,56,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,2,18
styles.css,57,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,0,0
styles.css,58,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,0,6
styles.css,59,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,2,18
styles.css,60,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,0,0
styles.css,61,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,0,9
styles.css,62,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,2,12
styles.css,63,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,2,58
styles.css,64,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,2,9
styles.css,65,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,0,0
styles.css,66,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,0,17
styles.css,67,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,2,12
styles.css,68,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,2,26
styles.css,69,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,2,15
styles.css,70,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,0,0
styles.css,71,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,0,20
styles.css,72,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,2,8
styles.css,73,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,0,0
styles.css,74,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,0,2
styles.css,75,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,2,14
styles.css,76,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,0,0
styles.css,77,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,0,22
styles.css,78,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,2,15
styles.css,79,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,2,17
styles.css,80,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,0,0
styles.css,81,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,0,7
styles.css,82,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,2,38
styles.css,83,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,2,15
styles.css,84,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,2,14
styles.css,85,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,0,0
styles.css,86,css,0f5cd966,Aarav Agrawal,2026-04-10,16:31:44,-07:00,2026-04-10T16:31:44-07:00,0,14
